SampleID,pH,Conductivity,ORP,Turbidity,Temperature,Moisture,RF_Resonator,Voltammetry
Ashwagandha_001,6.8,145.2,210.5,12.3,24.5,45.6,78.9,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.01,0.02,0.03,0.04,0.05]}"
Turmeric_002,7.2,120.8,185.3,8.7,26.1,38.4,85.2,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.015,0.025,0.035,0.045,0.055]}"
Ginger_003,6.5,160.4,195.7,15.2,23.8,52.1,72.6,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.008,0.018,0.028,0.038,0.048]}"
Brahmi_004,6.9,135.7,200.2,10.8,25.2,42.3,82.1,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.012,0.022,0.032,0.042,0.052]}"
Tulsi_005,7.0,125.3,190.8,9.5,25.8,40.7,87.4,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.014,0.024,0.034,0.044,0.054]}"
Amla_006,6.7,155.9,205.1,13.6,24.9,48.2,76.8,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.009,0.019,0.029,0.039,0.049]}"
Neem_007,6.6,140.6,215.3,11.7,25.5,44.8,80.3,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.011,0.021,0.031,0.041,0.051]}"
Triphala_008,6.8,150.1,195.6,12.9,24.7,46.5,79.7,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.013,0.023,0.033,0.043,0.053]}"
Shatavari_009,7.1,130.4,188.9,9.2,26.3,39.6,84.9,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.016,0.026,0.036,0.046,0.056]}"
Moringa_010,6.4,165.8,220.4,16.1,23.2,53.7,75.2,"{""Voltage"":[0.1,0.2,0.3,0.4,0.5],""Current"":[0.007,0.017,0.027,0.037,0.047]}"
